BRAND,COMPANY,MOLECULE,SEGMENT,REGION,MAT_VAL
Acnetrex,Rivona Labs,Isotretinoin,Anti-Acne,North,234679255
Acnetrex,Rivona Labs,Isotretinoin,Anti-Acne,South,232586640
Acnetrex,Rivona Labs,Isotretinoin,Anti-Acne,West,214097263
Acnetrex,Rivona Labs,Isotretinoin,Anti-Acne,East,119769241
Acnetrex,Rivona Labs,Isotretinoin,Anti-Acne,Central,118867601
Acnovia,Aurex Life Sciences,Adapalene,Anti-Acne,North,81774489
Acnovia,Aurex Life Sciences,Adapalene,Anti-Acne,South,84495372
Acnovia,Aurex Life Sciences,Adapalene,Anti-Acne,West,58359898
Acnovia,Aurex Life Sciences,Adapalene,Anti-Acne,East,43883784
Acnovia,Aurex Life Sciences,Adapalene,Anti-Acne,Central,41486458
Adaclear,Halcyon Pharma,Adapalene,Anti-Acne,North,266357332
Adaclear,Halcyon Pharma,Adapalene,Anti-Acne,South,319962497
Adaclear,Halcyon Pharma,Adapalene,Anti-Acne,West,280965139
Adaclear,Halcyon Pharma,Adapalene,Anti-Acne,East,163729077
Adaclear,Halcyon Pharma,Adapalene,Anti-Acne,Central,148985955
Adalin-C,Denvo Healthcare,Adapalene + Clindamycin,Anti-Acne,North,163544859
Adalin-C,Denvo Healthcare,Adapalene + Clindamycin,Anti-Acne,South,136658453
Adalin-C,Denvo Healthcare,Adapalene + Clindamycin,Anti-Acne,West,128706228
Adalin-C,Denvo Healthcare,Adapalene + Clindamycin,Anti-Acne,East,68513674
Adalin-C,Denvo Healthcare,Adapalene + Clindamycin,Anti-Acne,Central,82576786
Adaplus,Kestrel Biosciences,Adapalene,Anti-Acne,North,86710575
Adaplus,Kestrel Biosciences,Adapalene,Anti-Acne,South,66657143
Adaplus,Kestrel Biosciences,Adapalene,Anti-Acne,Central,36632282
Azelac,Crestlin Pharma,Azelaic Acid,Anti-Acne,North,47215932
Azelac,Crestlin Pharma,Azelaic Acid,Anti-Acne,South,42950849
Azelac,Crestlin Pharma,Azelaic Acid,Anti-Acne,West,29833219
Azeladerm,Sanchit Remedies,Azelaic Acid,Anti-Acne,North,116544280
Azeladerm,Sanchit Remedies,Azelaic Acid,Anti-Acne,South,93098022
Azeladerm,Sanchit Remedies,Azelaic Acid,Anti-Acne,West,93071036
Azeladerm,Sanchit Remedies,Azelaic Acid,Anti-Acne,East,51422473
Azeladerm,Sanchit Remedies,Azelaic Acid,Anti-Acne,Central,55864190
Benzalux,Orbis Derma,Benzoyl Peroxide,Anti-Acne,North,67687499
Benzalux,Orbis Derma,Benzoyl Peroxide,Anti-Acne,East,46343585
Benzalux,Orbis Derma,Benzoyl Peroxide,Anti-Acne,Central,45968915
Benzoclear,Amaris Pharma,Benzoyl Peroxide,Anti-Acne,North,172484784
Benzoclear,Amaris Pharma,Benzoyl Peroxide,Anti-Acne,South,175761064
Benzoclear,Amaris Pharma,Benzoyl Peroxide,Anti-Acne,West,139998194
Benzoclear,Amaris Pharma,Benzoyl Peroxide,Anti-Acne,East,73989985
Benzoclear,Amaris Pharma,Benzoyl Peroxide,Anti-Acne,Central,107765973
Clindaqua,Verdant Derma,Clindamycin,Anti-Acne,North,85725189
Clindaqua,Verdant Derma,Clindamycin,Anti-Acne,South,86268495
Clindaqua,Verdant Derma,Clindamycin,Anti-Acne,West,87070091
Clindaqua,Verdant Derma,Clindamycin,Anti-Acne,East,47826631
Clindaqua,Verdant Derma,Clindamycin,Anti-Acne,Central,53109594
Isoclear,Lumis Pharma,Isotretinoin,Anti-Acne,North,74195184
Isoclear,Lumis Pharma,Isotretinoin,Anti-Acne,South,60577487
Isoclear,Lumis Pharma,Isotretinoin,Anti-Acne,West,51163335
Isoclear,Lumis Pharma,Isotretinoin,Anti-Acne,East,40685866
Isoclear,Lumis Pharma,Isotretinoin,Anti-Acne,Central,43378128
Retinova,Trilok Healthcare,Isotretinoin,Anti-Acne,North,66132444
Retinova,Trilok Healthcare,Isotretinoin,Anti-Acne,East,37177560
Retinova,Trilok Healthcare,Isotretinoin,Anti-Acne,Central,36689996
Amorofix,Trilok Healthcare,Amorolfine,Antifungals,North,95903223
Amorofix,Trilok Healthcare,Amorolfine,Antifungals,South,85674168
Amorofix,Trilok Healthcare,Amorolfine,Antifungals,West,78213707
Amorofix,Trilok Healthcare,Amorolfine,Antifungals,East,39600235
Amorofix,Trilok Healthcare,Amorolfine,Antifungals,Central,40608668
Dermalite,Denvo Healthcare,Ketoconazole,Antifungals,North,88940212
Dermalite,Denvo Healthcare,Ketoconazole,Antifungals,East,53747372
Dermalite,Denvo Healthcare,Ketoconazole,Antifungals,Central,37312416
Dermazol,Nordic Remedies India,Terbinafine,Antifungals,North,550022705
Dermazol,Nordic Remedies India,Terbinafine,Antifungals,South,487136243
Dermazol,Nordic Remedies India,Terbinafine,Antifungals,West,468164294
Dermazol,Nordic Remedies India,Terbinafine,Antifungals,East,273840446
Dermazol,Nordic Remedies India,Terbinafine,Antifungals,Central,200836311
Fungiban,Bharat Cutis,Ketoconazole,Antifungals,North,67328569
Fungiban,Bharat Cutis,Ketoconazole,Antifungals,South,69910869
Fungiban,Bharat Cutis,Ketoconazole,Antifungals,West,72294207
Fungiban,Bharat Cutis,Ketoconazole,Antifungals,East,37900292
Fungiban,Bharat Cutis,Ketoconazole,Antifungals,Central,42566063
Fungiclear,Vantiva Healthcare,Luliconazole,Antifungals,North,272215332
Fungiclear,Vantiva Healthcare,Luliconazole,Antifungals,South,749366847
Fungiclear,Vantiva Healthcare,Luliconazole,Antifungals,West,322511635
Fungiclear,Vantiva Healthcare,Luliconazole,Antifungals,East,232908342
Fungiclear,Vantiva Healthcare,Luliconazole,Antifungals,Central,162997844
Itracare,Kritika Labs,Itraconazole,Antifungals,North,284264817
Itracare,Kritika Labs,Itraconazole,Antifungals,South,289932058
Itracare,Kritika Labs,Itraconazole,Antifungals,West,272558672
Itracare,Kritika Labs,Itraconazole,Antifungals,East,150394079
Itracare,Kritika Labs,Itraconazole,Antifungals,Central,122850375
Itrasol,Aventra Healthcare,Itraconazole,Antifungals,West,94058805
Itrasol,Aventra Healthcare,Itraconazole,Antifungals,East,47691058
Itrasol,Aventra Healthcare,Itraconazole,Antifungals,Central,58250137
Itrazen,Elvia Sciences,Itraconazole,Antifungals,North,70621489
Itrazen,Elvia Sciences,Itraconazole,Antifungals,South,58153046
Itrazen,Elvia Sciences,Itraconazole,Antifungals,West,55752610
Itrazen,Elvia Sciences,Itraconazole,Antifungals,East,38371845
Itrazen,Elvia Sciences,Itraconazole,Antifungals,Central,37101010
Ketorin,Solvex Pharma,Ketoconazole,Antifungals,North,320006664
Ketorin,Solvex Pharma,Ketoconazole,Antifungals,South,251379219
Ketorin,Solvex Pharma,Ketoconazole,Antifungals,West,278149624
Ketorin,Solvex Pharma,Ketoconazole,Antifungals,East,150312794
Ketorin,Solvex Pharma,Ketoconazole,Antifungals,Central,210151699
Lulicort,Orbis Derma,Luliconazole,Antifungals,North,68934157
Lulicort,Orbis Derma,Luliconazole,Antifungals,South,44871039
Lulicort,Orbis Derma,Luliconazole,Antifungals,West,46933211
Lulicort,Orbis Derma,Luliconazole,Antifungals,East,26394585
Lulicort,Orbis Derma,Luliconazole,Antifungals,Central,32867008
Luliderm,Nordic Remedies India,Luliconazole,Antifungals,North,75364388
Luliderm,Nordic Remedies India,Luliconazole,Antifungals,South,55557916
Luliderm,Nordic Remedies India,Luliconazole,Antifungals,West,56743446
Luliderm,Nordic Remedies India,Luliconazole,Antifungals,East,44422935
Luliderm,Nordic Remedies India,Luliconazole,Antifungals,Central,37911315
Lulivan,Kestrel Biosciences,Luliconazole,Antifungals,North,82034718
Lulivan,Kestrel Biosciences,Luliconazole,Antifungals,South,130437333
Lulivan,Kestrel Biosciences,Luliconazole,Antifungals,West,74143105
Lulivan,Kestrel Biosciences,Luliconazole,Antifungals,East,43427612
Lulivan,Kestrel Biosciences,Luliconazole,Antifungals,Central,49957233
Sertazyl,Meridian Dermacare,Sertaconazole,Antifungals,North,186576030
Sertazyl,Meridian Dermacare,Sertaconazole,Antifungals,South,172167940
Sertazyl,Meridian Dermacare,Sertaconazole,Antifungals,West,193886642
Sertazyl,Meridian Dermacare,Sertaconazole,Antifungals,East,121236012
Sertazyl,Meridian Dermacare,Sertaconazole,Antifungals,Central,106133376
Soranil,Aurex Life Sciences,Luliconazole,Antifungals,North,666290024
Soranil,Aurex Life Sciences,Luliconazole,Antifungals,South,190505360
Soranil,Aurex Life Sciences,Luliconazole,Antifungals,West,606241864
Soranil,Aurex Life Sciences,Luliconazole,Antifungals,East,245722595
Soranil,Aurex Life Sciences,Luliconazole,Antifungals,Central,151240157
Terbiflex,Sanchit Remedies,Terbinafine,Antifungals,North,64084001
Terbiflex,Sanchit Remedies,Terbinafine,Antifungals,West,51826880
Terbiflex,Sanchit Remedies,Terbinafine,Antifungals,East,44089119
Terbimax,Zenova Pharma,Terbinafine,Antifungals,North,206146972
Terbimax,Zenova Pharma,Terbinafine,Antifungals,South,140124833
Terbimax,Zenova Pharma,Terbinafine,Antifungals,West,145906677
Terbimax,Zenova Pharma,Terbinafine,Antifungals,East,114138705
Terbimax,Zenova Pharma,Terbinafine,Antifungals,Central,103682814
Ceravita,Sable & Co Pharma,Ceramide Complex,Dermo-Cosmetics & Emollients,North,247882655
Ceravita,Sable & Co Pharma,Ceramide Complex,Dermo-Cosmetics & Emollients,South,216546968
Ceravita,Sable & Co Pharma,Ceramide Complex,Dermo-Cosmetics & Emollients,West,290628019
Ceravita,Sable & Co Pharma,Ceramide Complex,Dermo-Cosmetics & Emollients,East,142789356
