BRAND_NAME,COMP_NAME,MOLECULE_NAME,THERAPY_AREA,SEGMENT,REGION,PERIOD,MAT_VAL,PREV_MAT_VAL,MAT_UNITS,PREV_MAT_UNITS
Acnetrex,Rivona Labs,Isotretinoin,Dermatology,Anti-Acne,North,MAT Aug 2026,234679255,207924221,550381,518493
Acnetrex,Rivona Labs,Isotretinoin,Dermatology,Anti-Acne,South,MAT Aug 2026,232586640,194129198,552944,490723
Acnetrex,Rivona Labs,Isotretinoin,Dermatology,Anti-Acne,West,MAT Aug 2026,214097263,184049647,546130,499193
Acnetrex,Rivona Labs,Isotretinoin,Dermatology,Anti-Acne,East,MAT Aug 2026,119769241,107957284,312567,299570
Acnetrex,Rivona Labs,Isotretinoin,Dermatology,Anti-Acne,Central,MAT Aug 2026,118867601,101400925,292755,265541
Acnovia,Aurex Life Sciences,Adapalene,Dermatology,Anti-Acne,North,MAT Aug 2026,81774489,74739581,187474,177704
Acnovia,Aurex Life Sciences,Adapalene,Dermatology,Anti-Acne,South,MAT Aug 2026,84495372,71989906,193308,170809
Acnovia,Aurex Life Sciences,Adapalene,Dermatology,Anti-Acne,West,MAT Aug 2026,58359898,51108788,132557,120395
Acnovia,Aurex Life Sciences,Adapalene,Dermatology,Anti-Acne,East,MAT Aug 2026,43883784,39798608,100613,94632
Acnovia,Aurex Life Sciences,Adapalene,Dermatology,Anti-Acne,Central,MAT Aug 2026,41486458,36954556,89063,82277
Adaclear,Halcyon Pharma,Adapalene,Dermatology,Anti-Acne,North,MAT Aug 2026,266357332,232285832,705618,644759
Adaclear,Halcyon Pharma,Adapalene,Dermatology,Anti-Acne,South,MAT Aug 2026,319962497,258769294,868110,735627
Adaclear,Halcyon Pharma,Adapalene,Dermatology,Anti-Acne,West,MAT Aug 2026,280965139,238849687,742869,661689
Adaclear,Halcyon Pharma,Adapalene,Dermatology,Anti-Acne,East,MAT Aug 2026,163729077,144222832,418150,385931
Adaclear,Halcyon Pharma,Adapalene,Dermatology,Anti-Acne,Central,MAT Aug 2026,148985955,126011241,382859,339291
Adalin-C,Denvo Healthcare,Adapalene + Clindamycin,Dermatology,Anti-Acne,North,MAT Aug 2026,163544859,135557446,377367,326520
Adalin-C,Denvo Healthcare,Adapalene + Clindamycin,Dermatology,Anti-Acne,South,MAT Aug 2026,136658453,107284903,322048,263926
Adalin-C,Denvo Healthcare,Adapalene + Clindamycin,Dermatology,Anti-Acne,West,MAT Aug 2026,128706228,103873534,315926,266164
Adalin-C,Denvo Healthcare,Adapalene + Clindamycin,Dermatology,Anti-Acne,East,MAT Aug 2026,68513674,56926809,152388,132176
Adalin-C,Denvo Healthcare,Adapalene + Clindamycin,Dermatology,Anti-Acne,Central,MAT Aug 2026,82576786,67707069,205361,175773
Adaplus,Kestrel Biosciences,Adapalene,Dermatology,Anti-Acne,North,MAT Aug 2026,86710575,68913613,212332,179768
Adaplus,Kestrel Biosciences,Adapalene,Dermatology,Anti-Acne,South,MAT Aug 2026,66657143,49253802,165898,130587
Adaplus,Kestrel Biosciences,Adapalene,Dermatology,Anti-Acne,Central,MAT Aug 2026,36632282,28504586,98109,81325
Azelac,Crestlin Pharma,Azelaic Acid,Dermatology,Anti-Acne,North,MAT Aug 2026,47215932,39516205,105903,93234
Azelac,Crestlin Pharma,Azelaic Acid,Dermatology,Anti-Acne,South,MAT Aug 2026,42950849,33517299,96628,79320
Azelac,Crestlin Pharma,Azelaic Acid,Dermatology,Anti-Acne,West,MAT Aug 2026,29833219,24253172,66008,56448
Azeladerm,Sanchit Remedies,Azelaic Acid,Dermatology,Anti-Acne,North,MAT Aug 2026,116544280,99083256,297518,269180
Azeladerm,Sanchit Remedies,Azelaic Acid,Dermatology,Anti-Acne,South,MAT Aug 2026,93098022,74980731,220174,188711
Azeladerm,Sanchit Remedies,Azelaic Acid,Dermatology,Anti-Acne,West,MAT Aug 2026,93071036,76947029,237857,209273
Azeladerm,Sanchit Remedies,Azelaic Acid,Dermatology,Anti-Acne,East,MAT Aug 2026,51422473,44671196,117562,108683
Azeladerm,Sanchit Remedies,Azelaic Acid,Dermatology,Anti-Acne,Central,MAT Aug 2026,55864190,45880339,135606,118520
Benzalux,Orbis Derma,Benzoyl Peroxide,Dermatology,Anti-Acne,North,MAT Aug 2026,67687499,63064227,202325,196547
Benzalux,Orbis Derma,Benzoyl Peroxide,Dermatology,Anti-Acne,East,MAT Aug 2026,46343585,44259160,130100,129548
Benzalux,Orbis Derma,Benzoyl Peroxide,Dermatology,Anti-Acne,Central,MAT Aug 2026,45968915,41751626,130123,123227
Benzoclear,Amaris Pharma,Benzoyl Peroxide,Dermatology,Anti-Acne,North,MAT Aug 2026,172484784,159449752,494085,486237
Benzoclear,Amaris Pharma,Benzoyl Peroxide,Dermatology,Anti-Acne,South,MAT Aug 2026,175761064,150803192,467595,427101
Benzoclear,Amaris Pharma,Benzoyl Peroxide,Dermatology,Anti-Acne,West,MAT Aug 2026,139998194,126007619,371168,355646
Benzoclear,Amaris Pharma,Benzoyl Peroxide,Dermatology,Anti-Acne,East,MAT Aug 2026,73989985,69674483,209893,210413
Benzoclear,Amaris Pharma,Benzoyl Peroxide,Dermatology,Anti-Acne,Central,MAT Aug 2026,107765973,95774598,283182,267922
Clindaqua,Verdant Derma,Clindamycin,Dermatology,Anti-Acne,North,MAT Aug 2026,85725189,80626551,194206,190498
Clindaqua,Verdant Derma,Clindamycin,Dermatology,Anti-Acne,South,MAT Aug 2026,86268495,77292170,205709,192219
Clindaqua,Verdant Derma,Clindamycin,Dermatology,Anti-Acne,West,MAT Aug 2026,87070091,80229027,194754,187158
Clindaqua,Verdant Derma,Clindamycin,Dermatology,Anti-Acne,East,MAT Aug 2026,47826631,45716707,107718,107387
Clindaqua,Verdant Derma,Clindamycin,Dermatology,Anti-Acne,Central,MAT Aug 2026,53109594,50196670,124300,122527
Isoclear,Lumis Pharma,Isotretinoin,Dermatology,Anti-Acne,North,MAT Aug 2026,74195184,59636555,160744,133913
Isoclear,Lumis Pharma,Isotretinoin,Dermatology,Anti-Acne,South,MAT Aug 2026,60577487,46284017,127891,101277
Isoclear,Lumis Pharma,Isotretinoin,Dermatology,Anti-Acne,West,MAT Aug 2026,51163335,39954088,102354,82843
Isoclear,Lumis Pharma,Isotretinoin,Dermatology,Anti-Acne,East,MAT Aug 2026,40685866,33325458,84422,71671
Isoclear,Lumis Pharma,Isotretinoin,Dermatology,Anti-Acne,Central,MAT Aug 2026,43378128,33877161,91719,74241
Retinova,Trilok Healthcare,Isotretinoin,Dermatology,Anti-Acne,North,MAT Aug 2026,66132444,57503836,172052,159701
Retinova,Trilok Healthcare,Isotretinoin,Dermatology,Anti-Acne,East,MAT Aug 2026,37177560,32810809,89603,84416
Retinova,Trilok Healthcare,Isotretinoin,Dermatology,Anti-Acne,Central,MAT Aug 2026,36689996,31089326,98277,88896
Amorofix,Trilok Healthcare,Amorolfine,Dermatology,Antifungals,North,MAT Aug 2026,95903223,85499473,325011,300694
Amorofix,Trilok Healthcare,Amorolfine,Dermatology,Antifungals,South,MAT Aug 2026,85674168,71749986,291528,253366
Amorofix,Trilok Healthcare,Amorolfine,Dermatology,Antifungals,West,MAT Aug 2026,78213707,66760938,262812,232800
Amorofix,Trilok Healthcare,Amorolfine,Dermatology,Antifungals,East,MAT Aug 2026,39600235,35993137,134323,126698
Amorofix,Trilok Healthcare,Amorolfine,Dermatology,Antifungals,Central,MAT Aug 2026,40608668,35409065,127702,115556
Dermalite,Denvo Healthcare,Ketoconazole,Dermatology,Antifungals,North,MAT Aug 2026,88940212,85774972,332459,332288
Dermalite,Denvo Healthcare,Ketoconazole,Dermatology,Antifungals,East,MAT Aug 2026,53747372,51978996,208767,209242
Dermalite,Denvo Healthcare,Ketoconazole,Dermatology,Antifungals,Central,MAT Aug 2026,37312416,34573202,139601,134057
Dermazol,Nordic Remedies India,Terbinafine,Dermatology,Antifungals,North,MAT Aug 2026,550022705,477711925,1739257,1595005
Dermazol,Nordic Remedies India,Terbinafine,Dermatology,Antifungals,South,MAT Aug 2026,487136243,400879196,1562708,1357856
Dermazol,Nordic Remedies India,Terbinafine,Dermatology,Antifungals,West,MAT Aug 2026,468164294,404929878,1606711,1467344
Dermazol,Nordic Remedies India,Terbinafine,Dermatology,Antifungals,East,MAT Aug 2026,273840446,245699233,841379,797096
Dermazol,Nordic Remedies India,Terbinafine,Dermatology,Antifungals,Central,MAT Aug 2026,200836311,170947504,663901,596673
Fungiban,Bharat Cutis,Ketoconazole,Dermatology,Antifungals,North,MAT Aug 2026,67328569,72974006,259734,297548
Fungiban,Bharat Cutis,Ketoconazole,Dermatology,Antifungals,South,MAT Aug 2026,69910869,69841643,254109,268318
Fungiban,Bharat Cutis,Ketoconazole,Dermatology,Antifungals,West,MAT Aug 2026,72294207,76231189,273651,304990
Fungiban,Bharat Cutis,Ketoconazole,Dermatology,Antifungals,East,MAT Aug 2026,37900292,41678337,135627,157643
Fungiban,Bharat Cutis,Ketoconazole,Dermatology,Antifungals,Central,MAT Aug 2026,42566063,44625145,151907,168327
